episode,loss,average reward,conflicts,duration,epsilon,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV
1,,0.06896551724137931,14,60.7,1.0,4,58,15,22,0,21
2,447.23565673828125,0.14285714285714285,20,37.45,0.9981,4,63,22,19,0,24
3,,0.43661971830985913,21,40.6,0.9981,2,71,24,29,0,22
4,417.5748291015625,0.22950819672131148,21,43.29,0.9962,4,61,28,17,0,18
5,,0.4782608695652174,20,38.46,0.9962,2,69,19,34,0,20
6,382.5058288574219,-0.06349206349206349,20,39.85,0.9943,4,63,27,20,0,22
7,,-0.5466666666666666,18,61.13,0.9943,6,75,25,21,0,29
8,336.63531494140625,-1.2857142857142858,20,40.4,0.9924,8,56,25,14,0,19
9,,0.38372093023255816,20,39.9,0.9924,2,86,26,32,0,33
10,310.1412353515625,-1.703125,18,61.16,0.9904999999999999,10,64,23,21,0,20
11,,-0.8225806451612904,20,45.98,0.9904999999999999,6,62,26,17,0,24
12,378.89434814453125,0.10526315789473684,20,49.04,0.9885999999999999,2,76,26,31,0,25
13,,-1.24,20,57.95,0.9885999999999999,8,50,19,15,0,18
14,335.58221435546875,-2.8714285714285714,20,46.33,0.9866999999999999,14,70,30,18,0,24
15,,0.018867924528301886,20,48.13,0.9866999999999999,6,53,17,19,0,19
16,301.6920166015625,0.8055555555555556,20,47.93,0.9847999999999999,2,72,29,19,0,26
17,,-1.6619718309859155,20,38.76,0.9847999999999999,10,71,28,24,0,23
18,307.13592529296875,-0.11235955056179775,20,38.83,0.9828999999999999,6,89,29,26,0,36
19,,-0.47058823529411764,20,29.94,0.9828999999999999,4,68,30,23,0,21
20,328.6430358886719,-2.5,14,60.82,0.9809999999999999,8,34,11,6,0,17
21,,-0.17721518987341772,20,55.6,0.9809999999999999,6,79,27,16,0,38
22,272.6256408691406,-0.5344827586206896,20,59.76,0.9790999999999999,6,58,26,20,0,16
23,,-1.0303030303030303,20,44.05,0.9790999999999999,6,66,30,22,0,16
24,265.2545166015625,-0.7045454545454546,20,47.53,0.9771999999999998,6,44,16,12,0,20
25,,-0.19298245614035087,21,38.66,0.9771999999999998,4,57,23,19,0,20
26,326.11614990234375,-2.098360655737705,20,47.51,0.9752999999999998,10,61,19,24,0,20
27,,0.5396825396825397,20,51.4,0.9752999999999998,2,63,20,28,0,19
28,357.23553466796875,-0.08536585365853659,20,28.57,0.9733999999999998,2,82,26,39,0,19
29,,0.47058823529411764,21,35.51,0.9733999999999998,2,68,24,26,0,22
30,234.26409912109375,1.2105263157894737,20,39.86,0.9714999999999998,0,76,32,21,0,25
31,,-0.5423728813559322,20,35.56,0.9714999999999998,6,59,21,19,0,23
32,268.9326171875,0.1111111111111111,20,49.93,0.9695999999999998,4,63,20,15,0,32
33,,-0.7464788732394366,21,32.47,0.9695999999999998,8,71,27,24,0,22
34,261.5848388671875,0.4090909090909091,20,28.81,0.9676999999999998,2,88,33,28,0,29
35,,0.042105263157894736,20,45.9,0.9676999999999998,2,95,30,38,0,32
36,269.178955078125,-0.02666666666666667,21,54.06,0.9657999999999998,4,75,23,34,0,20
37,,0.056179775280898875,21,41.98,0.9657999999999998,4,89,30,36,0,29
38,275.3765869140625,-0.4166666666666667,20,42.56,0.9638999999999998,6,60,23,18,0,24
39,,-1.53125,20,51.81,0.9638999999999998,10,64,18,27,0,21
40,310.223388671875,-1.0677966101694916,20,39.43,0.9619999999999997,6,59,26,25,0,16
41,,-0.21621621621621623,20,48.65,0.9619999999999997,6,74,24,25,0,27
42,291.818603515625,-0.2698412698412698,20,42.02,0.9600999999999997,4,63,22,26,0,18
43,,-0.6428571428571429,20,39.59,0.9600999999999997,6,56,22,19,0,17
44,286.021240234375,0.4727272727272727,21,45.16,0.9581999999999997,0,110,41,29,0,44
45,,-3.966666666666667,14,61.02,0.9581999999999997,10,30,8,12,0,10
46,252.34158325195312,0.359375,20,54.73,0.9562999999999997,2,64,22,28,0,16
47,,-0.3157894736842105,20,36.2,0.9562999999999997,4,76,33,25,0,23
48,301.40118408203125,0.28125,20,37.53,0.9543999999999997,4,64,17,25,0,27
49,,-0.5425531914893617,20,50.92,0.9543999999999997,8,94,37,31,0,28
50,250.75503540039062,-0.015625,20,48.46,0.9524999999999997,4,64,21,19,0,28
51,,0.3368421052631579,20,42.31,0.9524999999999997,2,95,33,40,0,26
52,271.7847900390625,-0.1111111111111111,20,34.14,0.9505999999999997,4,81,29,32,0,23
53,,-1.646341463414634,20,44.97,0.9505999999999997,8,82,30,29,0,27
54,312.680419921875,-0.6197183098591549,20,41.98,0.9486999999999997,6,71,24,25,0,24
55,,-1.4035087719298245,20,40.08,0.9486999999999997,8,57,25,18,0,16
56,269.6383056640625,0.11320754716981132,20,49.79,0.9467999999999996,4,53,18,16,0,22
57,,-0.4069767441860465,20,39.54,0.9467999999999996,6,86,31,28,0,29
58,285.2015380859375,0.2786885245901639,20,38.97,0.9448999999999996,4,61,30,17,0,16
59,,-1.839080459770115,20,59.31,0.9448999999999996,10,87,42,22,0,27
60,268.4472961425781,-0.31666666666666665,20,54.95,0.9429999999999996,6,60,20,26,0,16
61,,0.02564102564102564,20,57.32,0.9429999999999996,6,78,22,30,0,28
62,247.17141723632812,-0.8032786885245902,21,25.63,0.9410999999999996,6,61,26,18,0,21
63,,0.08433734939759036,20,52.84,0.9410999999999996,4,83,37,29,0,23
64,256.2622985839844,-1.476923076923077,18,60.94,0.9391999999999996,10,65,28,23,0,14
65,,-1.5818181818181818,20,46.05,0.9391999999999996,8,55,18,28,0,13
66,285.81060791015625,-2.740740740740741,20,56.04,0.9372999999999996,12,54,22,17,0,17
67,,-2.6296296296296298,20,54.64,0.9372999999999996,12,54,21,16,0,19
68,236.95355224609375,-0.6285714285714286,20,38.86,0.9353999999999996,6,70,30,19,0,25
69,,-0.7466666666666667,20,37.69,0.9353999999999996,6,75,28,25,0,28
70,270.037109375,-1.7857142857142858,20,50.77,0.9334999999999996,10,70,27,22,0,25
71,,-0.5949367088607594,21,58.24,0.9334999999999996,8,79,33,24,0,24
72,286.35626220703125,-0.6125,18,61.04,0.9315999999999995,6,80,25,33,0,22
73,,-0.38461538461538464,20,61.84,0.9315999999999995,6,65,17,26,0,24
74,220.76748657226562,-0.21212121212121213,20,28.77,0.9296999999999995,4,66,28,24,0,16
75,,-1.5961538461538463,14,61.29,0.9296999999999995,8,52,21,16,0,15
76,279.0555419921875,-0.2,20,52.05,0.9277999999999995,6,80,31,24,0,27
77,,-0.9491525423728814,20,53.35,0.9277999999999995,8,59,22,24,0,16
78,237.2200164794922,-0.4411764705882353,21,43.15,0.9258999999999995,7,102,38,26,0,40
79,,-0.3548387096774194,20,51.62,0.9258999999999995,6,62,26,20,0,18
80,219.168212890625,-0.13636363636363635,20,48.24,0.9239999999999995,4,66,23,19,0,26
81,,-0.14084507042253522,20,45.5,0.9239999999999995,4,71,32,23,0,20
82,228.6221160888672,-1.8421052631578947,20,53.51,0.9220999999999995,10,57,23,18,0,18
83,,-1.0212765957446808,20,42.05,0.9220999999999995,6,47,17,16,0,16
84,222.69593811035156,-0.7213114754098361,21,52.73,0.9201999999999995,6,61,22,23,0,18
85,,-1.7358490566037736,21,55.72,0.9201999999999995,10,53,22,12,0,23
86,181.76165771484375,-0.796875,21,40.91,0.9182999999999995,6,64,19,31,0,18
87,,-0.015151515151515152,20,38.31,0.9182999999999995,2,66,29,26,0,15
88,252.34310913085938,-0.5517241379310345,20,48.49,0.9163999999999994,6,58,14,20,0,26
89,,-0.16216216216216217,20,46.96,0.9163999999999994,6,74,31,22,0,23
90,195.34323120117188,0.5394736842105263,21,51.47,0.9144999999999994,4,76,28,23,0,27
91,,0.8055555555555556,20,48.52,0.9144999999999994,2,72,29,25,0,20
92,207.29486083984375,0.07526881720430108,21,25.34,0.9125999999999994,4,93,45,29,0,25
93,,0.13402061855670103,21,56.05,0.9125999999999994,4,97,37,28,0,34
94,253.24032592773438,-1.7419354838709677,20,45.21,0.9106999999999994,10,62,27,20,0,19
95,,1.2463768115942029,20,45.84,0.9106999999999994,0,69,29,21,0,23
96,221.4208984375,-0.3625,21,41.26,0.9087999999999994,4,80,29,27,0,29
97,,-0.847457627118644,21,49.72,0.9087999999999994,8,59,31,17,0,13
98,150.15711975097656,0.27419354838709675,20,42.12,0.9068999999999994,2,62,26,18,0,21
99,,-0.8354430379746836,21,45.01,0.9068999999999994,8,79,29,26,0,26
100,233.72210693359375,-0.43636363636363634,20,39.87,0.9049999999999994,6,55,28,20,0,11
101,,-1.0476190476190477,20,22.95,0.9049999999999994,6,42,20,18,0,7
102,146.1603546142578,-0.3088235294117647,20,48.77,0.9030999999999993,6,68,33,19,0,19
103,,-1.0461538461538462,21,45.05,0.9030999999999993,8,65,30,12,0,25
104,129.3413848876953,-0.3626373626373626,20,23.76,0.9011999999999993,4,91,39,31,0,24
105,,-0.08450704225352113,20,29.98,0.9011999999999993,4,71,33,19,0,21
106,156.42672729492188,-0.31521739130434784,21,41.92,0.8992999999999993,4,92,36,32,0,29
107,,-1.263157894736842,20,44.94,0.8992999999999993,8,76,29,23,0,26
108,143.32742309570312,-1.380952380952381,20,37.2,0.8973999999999993,8,63,29,22,0,14
109,,0.1326530612244898,21,54.53,0.8973999999999993,4,98,36,35,0,30
110,148.2513885498047,0.08139534883720931,20,31.42,0.8954999999999993,4,86,43,22,0,23
111,,-1.6181818181818182,20,48.22,0.8954999999999993,8,55,19,24,0,16
112,117.28137969970703,-1.6375,18,60.82,0.8935999999999993,10,80,36,24,0,20
113,,-0.34375,20,47.51,0.8935999999999993,6,64,26,22,0,19
114,153.1851043701172,-0.3116883116883117,21,41.33,0.8916999999999993,6,77,38,20,0,22
115,,0.18571428571428572,21,43.05,0.8916999999999993,4,70,24,23,0,25
116,120.0079116821289,0.3392857142857143,20,50.76,0.8897999999999993,4,56,20,23,0,15
117,,-0.13414634146341464,20,46.74,0.8897999999999993,4,82,25,30,0,29
118,116.5103988647461,1.0,20,45.14,0.8878999999999992,2,62,24,16,0,24
119,,0.22549019607843138,20,49.49,0.8878999999999992,2,102,45,34,0,27
120,122.08001708984375,0.8292682926829268,20,43.09,0.8859999999999992,0,82,30,31,0,23
121,,0.576271186440678,20,31.24,0.8859999999999992,1,59,17,19,0,27
122,138.93496704101562,-0.07692307692307693,20,38.99,0.8840999999999992,4,78,39,16,0,25
123,,-1.9863013698630136,20,47.12,0.8840999999999992,8,73,33,24,0,22
124,139.10971069335938,-1.6521739130434783,20,22.58,0.8821999999999992,8,46,11,21,0,16
125,,0.19480519480519481,20,37.62,0.8821999999999992,2,77,30,33,0,20
126,96.80432891845703,0.175,20,40.81,0.8802999999999992,4,80,38,27,0,19
127,,-0.3103448275862069,20,42.01,0.8802999999999992,6,58,24,17,0,19
128,115.34529113769531,-0.5416666666666666,20,46.02,0.8783999999999992,6,72,20,32,0,24
129,,-0.7222222222222222,20,41.77,0.8783999999999992,8,72,38,14,0,24
130,121.24649047851562,-0.6363636363636364,18,60.47,0.8764999999999992,6,88,30,27,0,33
131,,0.8870967741935484,21,28.23,0.8764999999999992,0,62,25,21,0,21
132,138.42822265625,-0.8227848101265823,21,38.62,0.8745999999999992,8,79,30,30,0,21
133,,-0.7105263157894737,21,40.43,0.8745999999999992,6,76,24,32,0,24
134,114.65043640136719,0.5081967213114754,20,42.72,0.8726999999999991,4,61,19,19,0,25
135,,-0.8653846153846154,13,60.44,0.8726999999999991,6,52,22,15,0,15
136,127.08714294433594,-0.18478260869565216,21,44.54,0.8707999999999991,6,92,45,27,0,24
137,,-1.411764705882353,20,44.8,0.8707999999999991,8,51,18,20,0,15
138,105.79808044433594,-1.3888888888888888,20,35.33,0.8688999999999991,8,54,23,15,0,20
139,,0.5392156862745098,20,54.57,0.8688999999999991,2,102,44,27,0,33
140,119.49027252197266,0.0,20,44.69,0.8669999999999991,4,67,24,21,0,26
141,,-0.10526315789473684,20,41.58,0.8669999999999991,6,76,26,21,0,31
142,116.45867919921875,-5.159090909090909,18,60.53,0.8650999999999991,16,44,22,10,0,12
143,,-0.9468085106382979,20,40.35,0.8650999999999991,6,94,53,24,0,21
144,102.32685852050781,0.6973684210526315,20,30.35,0.8631999999999991,2,76,27,22,0,30
145,,-1.393939393939394,20,33.22,0.8631999999999991,6,66,26,27,0,20
146,143.89016723632812,-0.3,20,45.94,0.8612999999999991,6,60,28,14,0,20
147,,-0.1875,18,60.63,0.8612999999999991,6,96,43,20,0,33
148,101.14191436767578,-0.49206349206349204,21,36.22,0.859399999999999,6,63,26,23,0,20
149,,-0.7058823529411765,20,57.59,0.859399999999999,8,68,21,29,0,20
150,131.5931854248047,-0.4,18,60.3,0.857499999999999,6,50,23,8,0,19
151,,-0.9759036144578314,19,63.67,0.857499999999999,10,83,32,27,0,24
152,113.975341796875,-1.1162790697674418,20,55.38,0.855599999999999,8,43,20,14,0,11
153,,-0.8953488372093024,21,45.62,0.855599999999999,8,86,35,21,0,34
154,112.775146484375,-0.16666666666666666,20,29.84,0.853699999999999,4,72,27,17,0,33
155,,-0.4444444444444444,20,57.65,0.853699999999999,6,54,19,24,0,13
156,123.78115844726562,-0.703125,16,60.47,0.851799999999999,6,64,23,26,0,19
157,,-0.7804878048780488,20,54.24,0.851799999999999,8,82,37,15,0,32
158,122.43867492675781,-0.21686746987951808,22,48.24,0.849899999999999,4,83,31,27,0,28
159,,-0.9866666666666667,21,34.92,0.849899999999999,8,75,30,20,0,27
160,114.95917510986328,0.3008849557522124,20,49.6,0.847999999999999,2,113,54,33,0,30
161,,-0.8518518518518519,20,31.67,0.847999999999999,4,54,35,16,0,12
162,109.1419677734375,-1.037037037037037,20,42.72,0.846099999999999,6,54,30,13,0,15
163,,0.5526315789473685,20,45.15,0.846099999999999,2,76,34,19,0,28
164,110.75453186035156,-2.246376811594203,20,29.96,0.844199999999999,12,69,34,16,0,21
165,,-0.19480519480519481,21,42.16,0.844199999999999,6,77,40,15,0,24
166,103.6624984741211,-0.7205882352941176,20,47.54,0.8422999999999989,6,68,26,20,0,24
